,user_id,questionnaire_id,created_at,s01,s02,s03,s04,s05,s06,s07,s08
5002,1347,6,2020-08-16 18:50:07.594936710,YES,74,43.0,82.0,19.0,20.0,0.0,NO
2258,1347,6,2020-08-21 00:36:27.341772152,YES,98,98.0,74.0,42.0,48.0,56.0,NO
4637,1347,6,2020-08-25 06:22:47.088607596,YES,29,19.0,44.0,30.0,17.0,21.0,NO
4413,1347,6,2020-08-29 12:09:06.835443040,NO,71,49.0,100.0,0.0,27.0,51.0,NO
5328,1347,6,2020-09-02 17:55:26.582278484,YES,53,49.0,100.0,0.0,25.0,33.0,
1314,1347,6,2020-09-06 23:41:46.329113924,YES,77,79.0,48.0,50.0,68.0,75.0,NO
4399,1347,6,2020-09-11 05:28:06.075949368,YES,73,72.0,82.0,74.0,58.0,59.0,NO
4505,1347,6,2020-09-15 11:14:25.822784812,YES,32,20.0,78.0,27.0,40.0,33.0,NO
401,1347,6,2020-09-19 17:00:45.569620256,YES,88,83.0,62.0,52.0,81.0,61.0,NO
3249,1347,6,2020-09-23 22:47:05.316455696,NO,50,21.0,69.0,22.0,42.0,27.0,NO
870,1347,6,2020-09-28 04:33:25.063291140,YES,55,53.0,55.0,42.0,34.0,37.0,YES
1623,1347,6,2020-10-02 10:19:44.810126584,YES,60,59.0,55.0,39.0,37.0,28.0,YES
3927,1347,6,2020-10-06 16:06:04.556962028,YES,84,22.0,83.0,8.0,3.0,32.0,YES
2057,1347,6,2020-10-10 21:52:24.303797468,NO,45,30.0,48.0,52.0,23.0,37.0,NO
2359,1347,6,2020-10-15 03:38:44.050632912,YES,87,84.0,58.0,56.0,0.0,7.0,NO
3797,1347,6,2020-10-19 09:25:03.797468356,YES,78,7.0,76.0,31.0,9.0,43.0,NO
5812,1347,6,2020-10-23 15:11:23.544303800,YES,50,27.0,48.0,34.0,4.0,46.0,NO
5253,1347,6,2020-10-27 20:57:43.291139244,NO,0,2.0,96.0,0.0,3.0,15.0,NO
5371,1347,6,2020-11-01 02:44:03.037974684,YES,27,24.0,100.0,0.0,22.0,16.0,NO
3898,1347,6,2020-11-05 08:30:22.784810128,YES,82,10.0,90.0,7.0,7.0,17.0,YES
5653,1347,6,2020-11-09 14:16:42.531645572,YES,66,66.0,17.0,35.0,45.0,60.0,NO
720,1347,6,2020-11-13 20:03:02.278481016,YES,44,45.0,62.0,40.0,35.0,44.0,NO
2178,1347,6,2020-11-18 01:49:22.025316456,YES,94,88.0,100.0,2.0,6.0,5.0,NO
5850,1347,6,2020-11-22 07:35:41.772151900,NO,42,28.0,100.0,0.0,15.0,20.0,
5171,1347,6,2020-11-26 13:22:01.518987344,NO,54,43.0,75.0,23.0,63.0,74.0,YES
1700,1347,6,2020-11-30 19:08:21.265822788,NO,12,2.0,90.0,0.0,22.0,31.0,NO
1888,1347,6,2020-12-05 00:54:41.012658228,YES,85,82.0,70.0,46.0,32.0,40.0,NO
2768,1347,6,2020-12-09 06:41:00.759493672,YES,100,73.0,87.0,35.0,23.0,15.0,NO
5814,1347,6,2020-12-13 12:27:20.506329116,YES,32,29.0,100.0,0.0,22.0,26.0,NO
479,1347,6,2020-12-17 18:13:40.253164560,YES,96,93.0,58.0,57.0,57.0,51.0,YES
6631,1347,6,2020-12-22 00:00:00,YES,83,76.0,94.0,7.0,78.0,72.0,YES
410,1348,6,2020-01-22 00:00:00,YES,11,10.0,92.0,6.0,20.0,7.0,NO
3157,1348,6,2020-01-24 05:57:35.033557046,YES,81,86.0,89.0,15.0,4.0,11.0,YES
2254,1348,6,2020-01-26 11:55:10.067114093,YES,86,29.0,90.0,21.0,22.0,62.0,YES
2123,1348,6,2020-01-28 17:52:45.100671140,YES,92,28.0,88.0,13.0,16.0,94.0,YES
720,1348,6,2020-01-30 23:50:20.134228187,YES,44,45.0,62.0,40.0,35.0,44.0,NO
7225,1348,6,2020-02-02 05:47:55.167785234,YES,26,26.0,100.0,0.0,57.0,19.0,NO
3647,1348,6,2020-02-04 11:45:30.201342281,YES,79,5.0,95.0,5.0,2.0,46.0,YES
3500,1348,6,2020-02-06 17:43:05.234899328,YES,44,42.0,61.0,38.0,32.0,28.0,YES
7322,1348,6,2020-02-08 23:40:40.268456375,YES,52,73.0,100.0,0.0,59.0,66.0,NO
4390,1348,6,2020-02-11 05:38:15.302013422,YES,74,62.0,51.0,35.0,63.0,55.0,NO
1467,1348,6,2020-02-13 11:35:50.335570469,YES,4,4.0,94.0,4.0,5.0,4.0,NO
3337,1348,6,2020-02-15 17:33:25.369127516,YES,68,65.0,59.0,32.0,56.0,29.0,YES
3900,1348,6,2020-02-17 23:31:00.402684563,YES,90,91.0,100.0,0.0,3.0,9.0,NO
280,1348,6,2020-02-20 05:28:35.436241610,YES,86,85.0,53.0,42.0,98.0,89.0,NO
5204,1348,6,2020-02-22 11:26:10.469798657,YES,44,42.0,54.0,30.0,8.0,28.0,NO
2512,1348,6,2020-02-24 17:23:45.503355704,YES,30,33.0,79.0,25.0,9.0,30.0,YES
837,1348,6,2020-02-26 23:21:20.536912751,YES,78,73.0,57.0,46.0,73.0,62.0,NO
7338,1348,6,2020-02-29 05:18:55.570469798,NO,21,20.0,100.0,3.0,58.0,88.0,NO
4799,1348,6,2020-03-02 11:16:30.604026845,YES,79,78.0,30.0,61.0,46.0,80.0,NO
5588,1348,6,2020-03-04 17:14:05.637583892,YES,90,51.0,92.0,15.0,52.0,48.0,NO
2650,1348,6,2020-03-06 23:11:40.671140939,YES,6,8.0,97.0,2.0,6.0,0.0,NO
6929,1348,6,2020-03-09 05:09:15.704697986,YES,77,39.0,13.0,26.0,16.0,50.0,NO
3913,1348,6,2020-03-11 11:06:50.738255033,YES,80,37.0,0.0,0.0,7.0,21.0,NO
3790,1348,6,2020-03-13 17:04:25.771812080,YES,40,28.0,72.0,27.0,75.0,43.0,NO
7320,1348,6,2020-03-15 23:02:00.805369127,YES,95,100.0,100.0,0.0,97.0,97.0,NO
4059,1348,6,2020-03-18 04:59:35.838926174,YES,79,86.0,100.0,0.0,0.0,15.0,NO
3681,1348,6,2020-03-20 10:57:10.872483221,YES,48,35.0,79.0,21.0,20.0,8.0,YES
2269,1348,6,2020-03-22 16:54:45.906040268,NO,29,16.0,86.0,11.0,33.0,47.0,NO
6240,1348,6,2020-03-24 22:52:20.939597315,NO,34,37.0,66.0,46.0,17.0,22.0,YES
3912,1348,6,2020-03-27 04:49:55.973154362,YES,86,38.0,89.0,22.0,10.0,22.0,YES
6526,1348,6,2020-03-29 10:47:31.006711409,YES,24,17.0,100.0,0.0,21.0,17.0,NO
872,1348,6,2020-03-31 16:45:06.040268456,NO,7,9.0,71.0,49.0,0.0,45.0,NO
482,1348,6,2020-04-02 22:42:41.073825503,YES,83,46.0,68.0,36.0,22.0,84.0,YES
7086,1348,6,2020-04-05 04:40:16.107382550,YES,88,92.0,90.0,11.0,84.0,84.0,YES
1956,1348,6,2020-04-07 10:37:51.140939597,YES,82,82.0,49.0,52.0,0.0,0.0,NO
4433,1348,6,2020-04-09 16:35:26.174496644,NO,10,0.0,93.0,5.0,7.0,7.0,NO
4123,1348,6,2020-04-11 22:33:01.208053691,YES,80,37.0,83.0,23.0,25.0,25.0,NO
355,1348,6,2020-04-14 04:30:36.241610738,YES,98,92.0,66.0,56.0,13.0,75.0,YES
3,1348,6,2020-04-16 10:28:11.275167785,YES,29,33.0,35.0,36.0,37.0,28.0,NO
3463,1348,6,2020-04-18 16:25:46.308724832,YES,76,18.0,86.0,7.0,24.0,39.0,YES
3450,1348,6,2020-04-20 22:23:21.342281879,YES,86,76.0,82.0,23.0,30.0,29.0,NO
7192,1348,6,2020-04-23 04:20:56.375838926,YES,29,26.0,83.0,16.0,28.0,29.0,NO
3043,1348,6,2020-04-25 10:18:31.409395973,YES,71,68.0,35.0,69.0,40.0,71.0,YES
1646,1348,6,2020-04-27 16:16:06.442953020,YES,30,29.0,61.0,16.0,2.0,0.0,YES
6827,1348,6,2020-04-29 22:13:41.476510067,YES,79,23.0,96.0,9.0,18.0,54.0,YES
4057,1348,6,2020-05-02 04:11:16.510067114,YES,84,84.0,100.0,0.0,0.0,3.0,NO
5177,1348,6,2020-05-04 10:08:51.543624161,YES,58,44.0,100.0,0.0,44.0,48.0,NO
396,1348,6,2020-05-06 16:06:26.577181208,YES,85,39.0,78.0,29.0,23.0,75.0,YES
6449,1348,6,2020-05-08 22:04:01.610738254,NO,69,59.0,90.0,0.0,19.0,15.0,NO
5677,1348,6,2020-05-11 04:01:36.644295302,YES,59,51.0,29.0,6.0,51.0,58.0,NO
358,1348,6,2020-05-13 09:59:11.677852348,YES,4,4.0,99.0,3.0,4.0,3.0,NO
6502,1348,6,2020-05-15 15:56:46.711409396,NO,70,84.0,90.0,0.0,28.0,23.0,NO
2327,1348,6,2020-05-17 21:54:21.744966442,YES,59,57.0,63.0,62.0,65.0,64.0,NO
3333,1348,6,2020-05-20 03:51:56.778523490,YES,38,28.0,75.0,28.0,61.0,28.0,NO
1130,1348,6,2020-05-22 09:49:31.812080536,YES,81,78.0,52.0,50.0,76.0,73.0,NO
6162,1348,6,2020-05-24 15:47:06.845637584,YES,22,20.0,100.0,0.0,21.0,15.0,NO
465,1348,6,2020-05-26 21:44:41.879194630,YES,75,73.0,68.0,66.0,53.0,50.0,NO
5185,1348,6,2020-05-29 03:42:16.912751678,YES,64,46.0,27.0,57.0,37.0,42.0,NO
3839,1348,6,2020-05-31 09:39:51.946308724,YES,88,86.0,100.0,0.0,0.0,11.0,NO
3824,1348,6,2020-06-02 15:37:26.979865772,YES,42,35.0,74.0,76.0,26.0,26.0,NO
7350,1348,6,2020-06-04 21:35:02.013422818,YES,77,76.0,90.0,12.0,0.0,0.0,NO
5748,1348,6,2020-06-07 03:32:37.046979866,YES,66,72.0,100.0,0.0,64.0,54.0,NO
6118,1348,6,2020-06-09 09:30:12.080536912,YES,42,47.0,82.0,19.0,33.0,42.0,NO
3374,1348,6,2020-06-11 15:27:47.114093960,NO,8,0.0,70.0,54.0,1.0,62.0,NO
3964,1348,6,2020-06-13 21:25:22.147651006,YES,83,21.0,94.0,6.0,23.0,62.0,YES
5012,1348,6,2020-06-16 03:22:57.181208052,YES,62,64.0,97.0,0.0,26.0,27.0,
4300,1348,6,2020-06-18 09:20:32.214765100,YES,84,42.0,78.0,25.0,28.0,30.0,NO
6555,1348,6,2020-06-20 15:18:07.248322146,NO,18,3.0,69.0,5.0,4.0,46.0,YES
6322,1348,6,2020-06-22 21:15:42.281879194,NO,0,8.0,95.0,7.0,6.0,1.0,NO
2948,1348,6,2020-06-25 03:13:17.315436240,YES,78,76.0,78.0,76.0,47.0,55.0,NO
5888,1348,6,2020-06-27 09:10:52.348993288,YES,19,22.0,78.0,22.0,19.0,22.0,NO
1473,1348,6,2020-06-29 15:08:27.382550334,YES,78,79.0,51.0,41.0,75.0,63.0,NO
3956,1348,6,2020-07-01 21:06:02.416107382,YES,36,26.0,85.0,14.0,15.0,0.0,YES
5037,1348,6,2020-07-04 03:03:37.449664428,YES,25,14.0,76.0,17.0,10.0,,NO
4232,1348,6,2020-07-06 09:01:12.483221476,YES,79,37.0,80.0,31.0,28.0,25.0,NO
2080,1348,6,2020-07-08 14:58:47.516778522,YES,98,29.0,95.0,17.0,12.0,33.0,YES
886,1348,6,2020-07-10 20:56:22.550335570,NO,18,16.0,88.0,10.0,9.0,9.0,NO
1444,1348,6,2020-07-13 02:53:57.583892616,YES,25,26.0,66.0,26.0,36.0,28.0,NO
2906,1348,6,2020-07-15 08:51:32.617449664,YES,62,49.0,58.0,49.0,4.0,16.0,NO
695,1348,6,2020-07-17 14:49:07.651006710,YES,79,80.0,56.0,50.0,69.0,75.0,NO
1630,1348,6,2020-07-19 20:46:42.684563758,YES,86,84.0,100.0,0.0,2.0,27.0,NO
2368,1348,6,2020-07-22 02:44:17.718120804,YES,37,32.0,69.0,33.0,42.0,56.0,NO
3550,1348,6,2020-07-24 08:41:52.751677852,YES,84,78.0,90.0,21.0,24.0,25.0,NO
6156,1348,6,2020-07-26 14:39:27.785234898,NO,41,15.0,97.0,5.0,61.0,45.0,NO
6472,1348,6,2020-07-28 20:37:02.818791946,YES,42,43.0,100.0,6.0,36.0,47.0,NO
127,1348,6,2020-07-31 02:34:37.852348992,YES,21,23.0,92.0,4.0,35.0,0.0,NO
5540,1348,6,2020-08-02 08:32:12.885906040,YES,60,34.0,77.0,18.0,0.0,0.0,NO
6480,1348,6,2020-08-04 14:29:47.919463086,YES,25,20.0,71.0,19.0,18.0,21.0,NO
473,1348,6,2020-08-06 20:27:22.953020134,NO,43,29.0,39.0,38.0,17.0,36.0,YES
1016,1348,6,2020-08-09 02:24:57.986577180,YES,45,30.0,79.0,,,,
3711,1348,6,2020-08-11 08:22:33.020134228,YES,83,36.0,80.0,23.0,20.0,22.0,NO
3132,1348,6,2020-08-13 14:20:08.053691274,NO,55,28.0,65.0,33.0,10.0,0.0,YES
7336,1348,6,2020-08-15 20:17:43.087248322,YES,82,84.0,12.0,56.0,12.0,1.0,NO
1145,1348,6,2020-08-18 02:15:18.120805368,YES,18,17.0,81.0,16.0,21.0,21.0,NO
6140,1348,6,2020-08-20 08:12:53.154362416,YES,78,51.0,100.0,0.0,52.0,34.0,NO
4108,1348,6,2020-08-22 14:10:28.187919464,YES,85,40.0,83.0,18.0,33.0,34.0,NO
1881,1348,6,2020-08-24 20:08:03.221476508,YES,19,22.0,81.0,23.0,35.0,42.0,NO
7235,1348,6,2020-08-27 02:05:38.255033556,YES,82,100.0,100.0,0.0,82.0,100.0,NO
4385,1348,6,2020-08-29 08:03:13.288590604,YES,81,37.0,73.0,37.0,33.0,34.0,NO
5529,1348,6,2020-08-31 14:00:48.322147648,NO,18,0.0,100.0,0.0,0.0,0.0,NO
285,1348,6,2020-09-02 19:58:23.355704696,YES,44,37.0,60.0,45.0,39.0,36.0,YES
3098,1348,6,2020-09-05 01:55:58.389261744,YES,79,70.0,100.0,4.0,0.0,6.0,NO
1580,1348,6,2020-09-07 07:53:33.422818792,YES,81,81.0,46.0,47.0,82.0,61.0,NO
4239,1348,6,2020-09-09 13:51:08.456375836,YES,92,91.0,100.0,0.0,0.0,6.0,NO
7315,1348,6,2020-09-11 19:48:43.489932884,YES,53,51.0,93.0,0.0,32.0,22.0,NO
3206,1348,6,2020-09-14 01:46:18.523489932,YES,82,79.0,100.0,0.0,0.0,0.0,NO
6441,1348,6,2020-09-16 07:43:53.557046980,YES,72,67.0,100.0,1.0,60.0,42.0,NO
2605,1348,6,2020-09-18 13:41:28.590604024,YES,34,38.0,69.0,27.0,33.0,45.0,NO
3026,1348,6,2020-09-20 19:39:03.624161072,YES,60,62.0,52.0,36.0,35.0,31.0,YES
3394,1348,6,2020-09-23 01:36:38.657718120,YES,85,73.0,56.0,46.0,16.0,42.0,NO
3327,1348,6,2020-09-25 07:34:13.691275168,YES,80,88.0,100.0,2.0,0.0,21.0,NO
6429,1348,6,2020-09-27 13:31:48.724832212,YES,89,88.0,95.0,21.0,87.0,98.0,YES
6779,1348,6,2020-09-29 19:29:23.758389260,YES,84,47.0,94.0,3.0,49.0,21.0,NO
4197,1348,6,2020-10-02 01:26:58.791946308,YES,71,3.0,95.0,2.0,0.0,7.0,YES
4649,1348,6,2020-10-04 07:24:33.825503356,YES,70,58.0,54.0,49.0,56.0,52.0,NO
7254,1348,6,2020-10-06 13:22:08.859060400,YES,99,94.0,61.0,36.0,85.0,80.0,NO
7009,1348,6,2020-10-08 19:19:43.892617448,YES,13,20.0,100.0,0.0,10.0,,NO
2759,1348,6,2020-10-11 01:17:18.926174496,YES,61,56.0,51.0,42.0,53.0,47.0,NO
1380,1348,6,2020-10-13 07:14:53.959731544,YES,4,3.0,95.0,3.0,2.0,2.0,NO
228,1348,6,2020-10-15 13:12:28.993288588,YES,30,33.0,37.0,38.0,36.0,91.0,YES
4792,1348,6,2020-10-17 19:10:04.026845636,YES,18,22.0,100.0,0.0,15.0,19.0,NO
3144,1348,6,2020-10-20 01:07:39.060402684,YES,29,25.0,76.0,29.0,10.0,52.0,YES
5139,1348,6,2020-10-22 07:05:14.093959732,YES,45,21.0,76.0,16.0,20.0,,NO
1716,1348,6,2020-10-24 13:02:49.127516776,YES,38,27.0,69.0,29.0,29.0,37.0,NO
630,1348,6,2020-10-26 19:00:24.161073824,NO,6,4.0,95.0,2.0,0.0,0.0,NO
4255,1348,6,2020-10-29 00:57:59.194630872,YES,80,80.0,78.0,76.0,77.0,79.0,NO
5825,1348,6,2020-10-31 06:55:34.228187920,YES,38,7.0,81.0,8.0,8.0,,NO
172,1348,6,2020-11-02 12:53:09.261744964,YES,56,45.0,51.0,42.0,29.0,35.0,NO
6843,1348,6,2020-11-04 18:50:44.295302012,YES,62,78.0,54.0,92.0,94.0,92.0,NO
2021,1348,6,2020-11-07 00:48:19.328859060,YES,79,72.0,62.0,58.0,42.0,35.0,NO
3513,1348,6,2020-11-09 06:45:54.362416104,YES,78,74.0,85.0,19.0,18.0,17.0,NO
3076,1348,6,2020-11-11 12:43:29.395973152,YES,89,78.0,100.0,0.0,7.0,3.0,NO
3050,1348,6,2020-11-13 18:41:04.429530200,YES,40,33.0,71.0,30.0,48.0,44.0,NO
6306,1348,6,2020-11-16 00:38:39.463087248,YES,12,16.0,84.0,19.0,21.0,20.0,NO
4986,1348,6,2020-11-18 06:36:14.496644292,NO,59,31.0,78.0,6.0,25.0,39.0,NO
7123,1348,6,2020-11-20 12:33:49.530201340,YES,87,16.0,90.0,5.0,9.0,21.0,YES
442,1348,6,2020-11-22 18:31:24.563758388,YES,80,80.0,63.0,64.0,56.0,87.0,YES
5429,1348,6,2020-11-25 00:28:59.597315436,YES,84,84.0,10.0,25.0,,23.0,NO
2706,1348,6,2020-11-27 06:26:34.630872480,YES,42,20.0,79.0,10.0,15.0,0.0,YES
1478,1348,6,2020-11-29 12:24:09.664429528,NO,56,36.0,56.0,59.0,28.0,11.0,YES
5575,1348,6,2020-12-01 18:21:44.697986576,YES,100,79.0,73.0,20.0,18.0,54.0,NO
4941,1348,6,2020-12-04 00:19:19.731543624,YES,24,22.0,81.0,10.0,20.0,23.0,NO
7035,1348,6,2020-12-06 06:16:54.765100668,YES,76,66.0,13.0,31.0,39.0,16.0,NO
3261,1348,6,2020-12-08 12:14:29.798657716,YES,77,80.0,59.0,46.0,74.0,47.0,NO
746,1348,6,2020-12-10 18:12:04.832214764,YES,74,69.0,55.0,47.0,65.0,66.0,NO
3640,1348,6,2020-12-13 00:09:39.865771812,YES,87,91.0,100.0,0.0,0.0,14.0,NO
4857,1348,6,2020-12-15 06:07:14.899328856,YES,82,65.0,32.0,45.0,36.0,57.0,NO
1719,1348,6,2020-12-17 12:04:49.932885904,YES,80,71.0,54.0,45.0,63.0,53.0,NO
5168,1348,6,2020-12-19 18:02:24.966442952,NO,51,18.0,89.0,7.0,,53.0,YES
1393,1348,6,2020-12-22 00:00:00,YES,50,33.0,73.0,5.0,0.0,0.0,NO
1667,1349,6,2020-01-22 00:00:00,NO,31,29.0,73.0,27.0,46.0,33.0,NO
3035,1349,6,2020-01-25 09:12:43.636363636,YES,83,78.0,87.0,21.0,23.0,25.0,NO
1880,1349,6,2020-01-28 18:25:27.272727272,YES,76,70.0,75.0,38.0,0.0,3.0,YES
6547,1349,6,2020-02-01 03:38:10.909090909,YES,69,26.0,83.0,11.0,0.0,0.0,NO
3282,1349,6,2020-02-04 12:50:54.545454545,YES,89,82.0,100.0,0.0,1.0,5.0,NO
4934,1349,6,2020-02-07 22:03:38.181818182,NO,46,0.0,99.0,0.0,0.0,0.0,NO
2766,1349,6,2020-02-11 07:16:21.818181818,YES,32,32.0,68.0,28.0,33.0,47.0,NO
3416,1349,6,2020-02-14 16:29:05.454545454,YES,85,82.0,100.0,0.0,7.0,24.0,NO
2630,1349,6,2020-02-18 01:41:49.090909091,YES,100,100.0,74.0,100.0,73.0,24.0,NO
1229,1349,6,2020-02-21 10:54:32.727272727,YES,63,69.0,100.0,0.0,60.0,62.0,YES
816,1349,6,2020-02-24 20:07:16.363636364,NO,35,11.0,86.0,22.0,14.0,82.0,NO
772,1349,6,2020-02-28 05:20:00,YES,100,2.0,97.0,3.0,4.0,8.0,NO
4512,1349,6,2020-03-02 14:32:43.636363636,YES,40,25.0,34.0,20.0,0.0,1.0,NO
4706,1349,6,2020-03-05 23:45:27.272727273,YES,58,41.0,84.0,0.0,15.0,16.0,NO
4981,1349,6,2020-03-09 08:58:10.909090909,YES,55,18.0,82.0,13.0,21.0,18.0,NO
6690,1349,6,2020-03-12 18:10:54.545454545,YES,30,17.0,73.0,20.0,30.0,22.0,NO
1954,1349,6,2020-03-16 03:23:38.181818182,NO,24,0.0,36.0,37.0,0.0,58.0,NO
604,1349,6,2020-03-19 12:36:21.818181818,YES,87,28.0,68.0,22.0,14.0,2.0,YES
6343,1349,6,2020-03-22 21:49:05.454545455,YES,95,80.0,17.0,0.0,52.0,50.0,NO
3856,1349,6,2020-03-26 07:01:49.090909091,YES,42,29.0,79.0,26.0,47.0,41.0,NO
991,1349,6,2020-03-29 16:14:32.727272728,YES,4,5.0,96.0,4.0,6.0,2.0,NO
4139,1349,6,2020-04-02 01:27:16.363636364,YES,88,90.0,100.0,0.0,1.0,5.0,NO
4558,1349,6,2020-04-05 10:40:00,YES,42,32.0,68.0,33.0,20.0,26.0,NO
810,1349,6,2020-04-08 19:52:43.636363637,YES,43,39.0,63.0,38.0,41.0,43.0,NO
2416,1349,6,2020-04-12 05:05:27.272727273,YES,28,34.0,77.0,29.0,43.0,52.0,NO
722,1349,6,2020-04-15 14:18:10.909090909,NO,13,13.0,88.0,8.0,16.0,25.0,NO
4622,1349,6,2020-04-18 23:30:54.545454546,YES,58,23.0,24.0,15.0,51.0,53.0,NO
4180,1349,6,2020-04-22 08:43:38.181818182,YES,76,31.0,74.0,35.0,27.0,30.0,NO
1075,1349,6,2020-04-25 17:56:21.818181818,YES,43,17.0,82.0,9.0,19.0,42.0,NO
5258,1349,6,2020-04-29 03:09:05.454545455,YES,26,28.0,,,28.0,,NO
2334,1349,6,2020-05-02 12:21:49.090909091,YES,77,71.0,62.0,49.0,43.0,39.0,NO
3739,1349,6,2020-05-05 21:34:32.727272728,YES,35,24.0,71.0,24.0,30.0,29.0,NO
2556,1349,6,2020-05-09 06:47:16.363636364,YES,81,19.0,,24.0,0.0,9.0,NO
5019,1349,6,2020-05-12 16:00:00,YES,45,18.0,74.0,27.0,18.0,16.0,NO
312,1349,6,2020-05-16 01:12:43.636363636,NO,6,5.0,32.0,4.0,3.0,3.0,NO
6151,1349,6,2020-05-19 10:25:27.272727274,YES,45,33.0,92.0,8.0,26.0,45.0,
5071,1349,6,2020-05-22 19:38:10.909090910,NO,8,5.0,96.0,7.0,4.0,30.0,NO
1856,1349,6,2020-05-26 04:50:54.545454546,YES,71,72.0,58.0,63.0,52.0,43.0,YES
6879,1349,6,2020-05-29 14:03:38.181818182,YES,85,42.0,99.0,5.0,44.0,24.0,NO
23,1349,6,2020-06-01 23:16:21.818181818,YES,67,43.0,44.0,46.0,37.0,42.0,NO
462,1349,6,2020-06-05 08:29:05.454545456,YES,38,38.0,49.0,32.0,24.0,36.0,YES
3364,1349,6,2020-06-08 17:41:49.090909092,YES,78,63.0,80.0,27.0,21.0,25.0,NO
6837,1349,6,2020-06-12 02:54:32.727272728,YES,82,82.0,93.0,13.0,79.0,87.0,YES
7047,1349,6,2020-06-15 12:07:16.363636364,YES,21,26.0,28.0,42.0,16.0,20.0,NO
5328,1349,6,2020-06-18 21:20:00,YES,53,49.0,100.0,0.0,25.0,33.0,
3393,1349,6,2020-06-22 06:32:43.636363636,YES,82,83.0,100.0,0.0,7.0,14.0,NO
6666,1349,6,2020-06-25 15:45:27.272727274,YES,27,19.0,77.0,24.0,23.0,23.0,NO
2105,1349,6,2020-06-29 00:58:10.909090910,YES,3,0.0,100.0,0.0,0.0,0.0,NO
3127,1349,6,2020-07-02 10:10:54.545454546,YES,37,24.0,83.0,3.0,17.0,1.0,YES
3545,1349,6,2020-07-05 19:23:38.181818182,YES,75,72.0,56.0,57.0,42.0,54.0,NO
650,1349,6,2020-07-09 04:36:21.818181818,YES,3,3.0,96.0,4.0,7.0,6.0,NO
4030,1349,6,2020-07-12 13:49:05.454545456,YES,87,36.0,84.0,26.0,31.0,33.0,NO
5533,1349,6,2020-07-15 23:01:49.090909092,YES,67,66.0,59.0,47.0,51.0,48.0,NO
6403,1349,6,2020-07-19 08:14:32.727272728,YES,96,100.0,24.0,77.0,100.0,100.0,NO
5313,1349,6,2020-07-22 17:27:16.363636364,YES,35,30.0,83.0,3.0,23.0,25.0,NO
4351,1349,6,2020-07-26 02:40:00,YES,76,75.0,61.0,51.0,60.0,61.0,NO
2307,1349,6,2020-07-29 11:52:43.636363636,YES,68,68.0,44.0,37.0,33.0,29.0,YES
5453,1349,6,2020-08-01 21:05:27.272727274,NO,72,32.0,87.0,0.0,14.0,78.0,NO
1342,1349,6,2020-08-05 06:18:10.909090910,YES,25,28.0,78.0,26.0,23.0,22.0,NO
6298,1349,6,2020-08-08 15:30:54.545454546,YES,22,21.0,61.0,23.0,0.0,11.0,NO
4442,1349,6,2020-08-12 00:43:38.181818182,YES,26,26.0,72.0,26.0,38.0,13.0,NO
4124,1349,6,2020-08-15 09:56:21.818181818,YES,89,89.0,100.0,0.0,1.0,2.0,NO
5690,1349,6,2020-08-18 19:09:05.454545456,YES,46,56.0,100.0,0.0,33.0,22.0,
7075,1349,6,2020-08-22 04:21:49.090909092,NO,0,2.0,100.0,6.0,3.0,5.0,NO
3264,1349,6,2020-08-25 13:34:32.727272728,YES,46,38.0,77.0,20.0,44.0,22.0,YES
7264,1349,6,2020-08-28 22:47:16.363636364,YES,85,85.0,100.0,0.0,49.0,78.0,NO
673,1349,6,2020-09-01 08:00:00,YES,72,69.0,50.0,49.0,47.0,51.0,YES
4424,1349,6,2020-09-04 17:12:43.636363636,NO,21,9.0,100.0,0.0,10.0,52.0,NO
2648,1349,6,2020-09-08 02:25:27.272727272,YES,89,87.0,100.0,0.0,4.0,13.0,NO
7165,1349,6,2020-09-11 11:38:10.909090908,YES,8,11.0,100.0,4.0,79.0,59.0,NO
6234,1349,6,2020-09-14 20:50:54.545454548,YES,77,71.0,94.0,9.0,79.0,94.0,YES
6655,1349,6,2020-09-18 06:03:38.181818184,NO,19,2.0,69.0,0.0,5.0,3.0,YES
5759,1349,6,2020-09-21 15:16:21.818181820,YES,28,21.0,,,19.0,,NO
3169,1349,6,2020-09-25 00:29:05.454545456,YES,45,30.0,73.0,30.0,8.0,27.0,YES
6747,1349,6,2020-09-28 09:41:49.090909092,YES,12,20.0,94.0,6.0,14.0,15.0,NO
7262,1349,6,2020-10-01 18:54:32.727272728,YES,93,95.0,100.0,0.0,76.0,83.0,NO
2892,1349,6,2020-10-05 04:07:16.363636364,YES,85,81.0,82.0,33.0,25.0,39.0,NO
5577,1349,6,2020-10-08 13:20:00,YES,36,17.0,28.0,13.0,58.0,68.0,NO
4235,1349,6,2020-10-11 22:32:43.636363636,YES,80,31.0,79.0,34.0,22.0,23.0,NO
5351,1349,6,2020-10-15 07:45:27.272727272,NO,66,55.0,100.0,0.0,60.0,77.0,NO
4112,1349,6,2020-10-18 16:58:10.909090912,YES,37,17.0,75.0,20.0,46.0,51.0,NO
1884,1349,6,2020-10-22 02:10:54.545454548,YES,48,45.0,75.0,25.0,58.0,49.0,NO
1150,1349,6,2020-10-25 11:23:38.181818184,YES,79,80.0,57.0,47.0,75.0,62.0,NO
4534,1349,6,2020-10-28 20:36:21.818181820,YES,14,10.0,12.0,5.0,45.0,7.0,NO
3482,1349,6,2020-11-01 05:49:05.454545456,YES,39,33.0,71.0,28.0,51.0,36.0,NO
